,Collection_time,Acc_No,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Notes
1,12 Feb 10:00,OF05,275.6,46.0,405.7,,
2,12 Feb 10:00,AM04,151.6,239.7,414.0,,
3,12 Feb 10:00,OR05,82.4,40.6,60.1,,
4,12 Feb 10:00,AM05,537.9,691.5,216.7,,
5,12 Feb 10:00,OR06,31.8,47.4,57.1,,
6,12 Feb 10:00,OF03,45.8,76.1,44.7,,
7,12 Feb 10:00,AM03,165.6,158.6,193.7,,
8,12 Feb 10:00,OR03,61.3,34.1,60.5,,
9,12 Feb 10:00,AM01,412.2,392.6,78.5,,
10,12 Feb 10:00,OF04,57.2,88.1,23.1,,
11,12 Feb 10:00,AM02,507.8,81.4,136.0,,
12,12 Feb 10:00,OR02,117.4,41.7,34.7,,
13,12 Feb 10:00,OR01,44.7,91.6,177.7,,
14,12 Feb 10:00,AM06,85.5,103.7,734.9,,
15,12 Feb 10:00,OF02,94.8,60.5,22.3,,
16,12 Feb 10:00,OF06,25.3,25.3,21.7,,
17,12 Feb 10:00,OF01,23.6,18.9,21.4,,
18,12 Feb 10:00,OR04,27.7,20.4,21.3,,
19,12 Feb 16:00,,,,,,
20,12 Feb 16:00,,,,,,
21,12 Feb 16:00,,,,,,
22,12 Feb 16:00,,,,,,
23,12 Feb 16:00,,,,,,
24,12 Feb 16:00,,,,,,
25,12 Feb 16:00,,,,,,
26,12 Feb 16:00,,,,,,
27,12 Feb 16:00,,,,,,
28,12 Feb 16:00,,,,,,
29,12 Feb 16:00,,,,,,
30,12 Feb 16:00,,,,,,
31,12 Feb 16:00,,,,,,
32,12 Feb 16:00,,,,,,
33,12 Feb 16:00,,,,,,
34,12 Feb 16:00,,,,,,
35,12 Feb 16:00,,,,,,
36,12 Feb 16:00,,,,,,
37,12 Feb 22:00,,,,,,
38,12 Feb 22:00,,,,,,
39,12 Feb 22:00,,,,,,
40,12 Feb 22:00,,,,,,
41,12 Feb 22:00,,,,,,
42,12 Feb 22:00,,,,,,
43,12 Feb 22:00,,,,,,
44,12 Feb 22:00,,,,,,
45,12 Feb 22:00,,,,,,
46,12 Feb 22:00,,,,,,
47,12 Feb 22:00,,,,,,
48,12 Feb 22:00,,,,,,
49,12 Feb 22:00,,,,,,
50,12 Feb 22:00,,,,,,
51,12 Feb 22:00,,,,,,
52,12 Feb 22:00,,,,,,
53,12 Feb 22:00,,,,,,
54,12 Feb 22:00,,,,,,
55,13 Feb 4:00,,,,,,
56,13 Feb 4:00,,,,,,
57,13 Feb 4:00,,,,,,
58,13 Feb 4:00,,,,,,
59,13 Feb 4:00,,,,,,
60,13 Feb 4:00,,,,,,
61,13 Feb 4:00,,,,,,
62,13 Feb 4:00,,,,,,
63,13 Feb 4:00,,,,,,
64,13 Feb 4:00,,,,,,
65,13 Feb 4:00,,,,,,
66,13 Feb 4:00,,,,,,
67,13 Feb 4:00,,,,,,
68,13 Feb 4:00,,,,,,
69,13 Feb 4:00,,,,,,
70,13 Feb 4:00,,,,,,
71,13 Feb 4:00,,,,,,
72,13 Feb 4:00,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
