,Collection_time,Acc_No,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Notes
1,12 February 2019 10:00,OF05,275.6,46.0,405.7,,
2,12 February 2019 10:00,AM04,151.6,239.7,414.0,,
3,12 February 2019 10:00,OR05,82.4,40.6,60.1,,
4,12 February 2019 10:00,AM05,537.9,691.5,216.7,,
5,12 February 2019 10:00,OR06,31.8,47.4,57.1,,
6,12 February 2019 10:00,OF03,45.8,76.1,44.7,,
7,12 February 2019 10:00,AM03,165.6,158.6,193.7,,
8,12 February 2019 10:00,OR03,61.3,34.1,60.5,,
9,12 February 2019 10:00,AM01,412.2,392.6,78.5,,
10,12 February 2019 10:00,OF04,57.2,88.1,23.1,,
11,12 February 2019 10:00,AM02,507.8,81.4,136.0,,
12,12 February 2019 10:00,OR02,117.4,41.7,34.7,,
13,12 February 2019 10:00,OR01,44.7,91.6,177.7,,
14,12 February 2019 10:00,AM06,85.5,103.7,734.9,,
15,12 February 2019 10:00,OF02,94.8,60.5,22.3,,
16,12 February 2019 10:00,OF06,25.3,25.3,21.7,,
17,12 February 2019 10:00,OF01,23.6,18.9,21.4,,
18,12 February 2019 10:00,OR04,27.7,20.4,21.3,,
19,12 February 2019 16:00,OR01,70.9,42.2,42.3,,
20,12 February 2019 16:00,AM01,262.8,32.5,85.4,,
21,12 February 2019 16:00,AM02,64.2,625.0,95.1,,
22,12 February 2019 16:00,OR03,26.4,46.1,26.9,,
23,12 February 2019 16:00,OF04,24.4,37.4,30.9,,
24,12 February 2019 16:00,AM04,108.0,64.2,178.1,,
25,12 February 2019 16:00,OR02,23.9,29.4,35.1,,
26,12 February 2019 16:00,OF05,35.8,31.8,28.0,,
27,12 February 2019 16:00,OR06,27.3,60.5,29.7,,
28,12 February 2019 16:00,OF03,82.7,98.2,24.6,,
29,12 February 2019 16:00,AM03,50.3,28.9,38.9,,
30,12 February 2019 16:00,OF06,29.5,28.0,45.1,,
31,12 February 2019 16:00,OR05,24.0,32.0,54.6,,
32,12 February 2019 16:00,AM05,45.4,56.1,32.9,,
33,12 February 2019 16:00,OF02,37.5,26.4,34.0,,
34,12 February 2019 16:00,AM06,41.3,53.9,29.1,,
35,12 February 2019 16:00,OR04,32.8,36.9,31.6,,
36,12 February 2019 16:00,OF01,26.6,24.0,26.7,,
37,12 February 2019 22:00,OF04,37.5,29.5,185.3,,
38,12 February 2019 22:00,OR03,31.4,38.5,32.5,,
39,12 February 2019 22:00,AM01,158.0,771.6,44.5,,
40,12 February 2019 22:00,OR06,29.0,26.8,29.1,,
41,12 February 2019 22:00,AM05,41.3,60.3,38.1,,
42,12 February 2019 22:00,OF02,29.6,26.5,26.7,,
43,12 February 2019 22:00,AM02,40.8,22.7,26.9,,
44,12 February 2019 22:00,OR02,32.1,23.3,32.1,,
45,12 February 2019 22:00,OF01,28.8,25.4,26.9,,
46,12 February 2019 22:00,OF05,44.7,26.8,35.4,,
47,12 February 2019 22:00,AM06,30.0,25.5,27.1,,
48,12 February 2019 22:00,OF03,26.2,25.5,29.5,,
49,12 February 2019 22:00,AM04,29.3,29.2,39.7,,
50,12 February 2019 22:00,OR04,32.5,35.3,34.7,,
51,12 February 2019 22:00,OF06,19.6,30.7,24.3,,
52,12 February 2019 22:00,AM03,33.3,28.3,29.0,,
53,12 February 2019 22:00,OR05,26.5,33.2,25.9,,
54,12 February 2019 22:00,OR01,28.7,30.1,26.8,,
55,13 February 2019 04:00,AM04,27.4,34.9,25.5,,
56,13 February 2019 04:00,OR05,32.4,29.1,39.5,,
57,13 February 2019 04:00,OR03,26.1,30.5,37.9,,
58,13 February 2019 04:00,AM06,322.6,53.5,31.2,,
59,13 February 2019 04:00,OF03,51.5,35.4,29.3,,
60,13 February 2019 04:00,OR04,35.4,27.3,25.3,,
61,13 February 2019 04:00,OR06,34.1,28.8,25.7,,
62,13 February 2019 04:00,AM03,26.3,72.8,28.2,,
63,13 February 2019 04:00,OR06,23.3,26.9,30.7,,
64,13 February 2019 04:00,OF04,34.4,36.4,32.8,,
65,13 February 2019 04:00,AM05,32.4,29.1,26.6,,
66,13 February 2019 04:00,OF01,29.9,31.7,30.5,,
67,13 February 2019 04:00,AM01,27.1,29.3,28.9,,
68,13 February 2019 04:00,OR02,28.1,32.5,30.0,,
69,13 February 2019 04:00,OF05,25.5,27.1,26.5,,
70,13 February 2019 04:00,OF02,59.3,76.4,25.0,,
71,13 February 2019 04:00,OR01,29.7,30.8,27.9,,
72,13 February 2019 04:00,AM02,25.4,61.8,,,
73,21 February 2019 10:00,AM05,107.8,25.5,29.4,49.5,Leave wilting; Leaf 1 broke while measuring
74,21 February 2019 10:00,AM01,31.8,30.3,30.9,,Leave wilting;
75,21 February 2019 10:00,AM02,34.9,37.0,38.3,,Leave wilting;
76,21 February 2019 10:00,AM06,30.7,31.9,27.4,,Leave wilting;
77,21 February 2019 10:00,AM04,24.6,37.3,33.0,,Leave wilting;
78,21 February 2019 10:00,AM03,39.1,26.5,27.6,,Leave wilting;
79,21 February 2019 16:00,AM03,18.2,38.4,26.2,,Leave wilting;
80,21 February 2019 16:00,AM01,26.4,35.6,144.8,72.9,Leave wilting; Leaf 3 broke while measuring
81,21 February 2019 16:00,AM05,64.4,35.6,33.6,,Leave wilting;
82,21 February 2019 16:00,AM04,31.8,29.6,31.1,,Leave wilting;
83,21 February 2019 16:00,AM06,23.1,40.9,36.2,,Leave wilting;
84,21 February 2019 16:00,AM02,22.8,30.4,43.1,,Leave wilting;
85,21 February 2019 22:00,AM03,35.0,318.3,38.1,32.9,Leave wilting; Leaf 2 broke while measuring
86,21 February 2019 22:00,AM05,27.8,39.8,28.4,,Leave wilting;
87,21 February 2019 22:00,AM04,32.5,40.7,40.8,,Leave wilting;
88,21 February 2019 22:00,AM06,24.6,31.8,26.8,,Leave wilting;
89,21 February 2019 22:00,AM01,26.9,22.0,25.4,,Leave wilting;
90,21 February 2019 22:00,AM02,25.6,25.6,25.6,26.7,Leave wilting;
91,22 February 2019 04:00,AM04,22.0,32.7,37.2,,Leave wilting;
92,22 February 2019 04:00,AM03,26.0,27.8,31.7,,Leave wilting;
93,22 February 2019 04:00,AM05,24.8,34.6,33.2,,Leave wilting;
94,22 February 2019 04:00,AM02,29.7,34.3,26.5,,Leave wilting;
95,22 February 2019 04:00,AM06,26.2,30.4,36.0,,Leave wilting;
96,22 February 2019 04:00,AM01,18.5,35.3,33.7,,Leave wilting;
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
