RNA_No,Collection_time,Acc_No,Mass (mg),Notes
ISG_001,12 February  2019 10:00,,,
ISG_002,12 February  2019 10:00,,,
ISG_003,12 February  2019 10:00,,,
ISG_004,12 February  2019 10:00,,,
ISG_005,12 February  2019 10:00,,,
ISG_006,12 February  2019 10:00,,,
ISG_007,12 February  2019 10:00,,,
ISG_008,12 February  2019 10:00,,,
ISG_009,12 February  2019 10:00,,,
ISG_010,12 February  2019 10:00,,,
ISG_011,12 February  2019 10:00,,,
ISG_012,12 February  2019 10:00,,,
ISG_013,12 February  2019 10:00,,,
ISG_014,12 February  2019 10:00,,,
ISG_015,12 February  2019 10:00,,,
ISG_016,12 February  2019 10:00,,,
ISG_017,12 February  2019 10:00,,,
ISG_018,12 February  2019 10:00,,,
ISG_019,12 February  2019 16:00,,,
ISG_020,12 February  2019 16:00,,,
ISG_021,12 February  2019 16:00,,,
ISG_022,12 February  2019 16:00,,,
ISG_023,12 February  2019 16:00,,,
ISG_024,12 February  2019 16:00,,,
ISG_025,12 February  2019 16:00,,,
ISG_026,12 February  2019 16:00,,,
ISG_027,12 February  2019 16:00,,,
ISG_028,12 February  2019 16:00,,,
ISG_029,12 February  2019 16:00,,,
ISG_030,12 February  2019 16:00,,,
ISG_031,12 February  2019 16:00,,,
ISG_032,12 February  2019 16:00,,,
ISG_033,12 February  2019 16:00,,,
ISG_034,12 February  2019 16:00,,,
ISG_035,12 February  2019 16:00,,,
ISG_036,12 February  2019 16:00,,,
ISG_037,12 February  2019 22:00,,,
ISG_038,12 February  2019 22:00,,,
ISG_039,12 February  2019 22:00,,,
ISG_040,12 February  2019 22:00,,,
ISG_041,12 February  2019 22:00,,,
ISG_042,12 February  2019 22:00,,,
ISG_043,12 February  2019 22:00,,,
ISG_044,12 February  2019 22:00,,,
ISG_045,12 February  2019 22:00,,,
ISG_046,12 February  2019 22:00,,,
ISG_047,12 February  2019 22:00,,,
ISG_048,12 February  2019 22:00,,,
ISG_049,12 February  2019 22:00,,,
ISG_050,12 February  2019 22:00,,,
ISG_051,12 February  2019 22:00,,,
ISG_052,12 February  2019 22:00,,,
ISG_053,12 February  2019 22:00,,,
ISG_054,12 February  2019 22:00,,,
ISG_055,13 February  2019 4:00,,,
ISG_056,13 February  2019 4:00,,,
ISG_057,13 February  2019 4:00,,,
ISG_058,13 February  2019 4:00,,,
ISG_059,13 February  2019 4:00,,,
ISG_060,13 February  2019 4:00,,,
ISG_061,13 February  2019 4:00,,,
ISG_062,13 February  2019 4:00,,,
ISG_063,13 February  2019 4:00,,,
ISG_064,13 February  2019 4:00,,,
ISG_065,13 February  2019 4:00,,,
ISG_066,13 February  2019 4:00,,,
ISG_067,13 February  2019 4:00,,,
ISG_068,13 February  2019 4:00,,,
ISG_069,13 February  2019 4:00,,,
ISG_070,13 February  2019 4:00,,,
ISG_071,13 February  2019 4:00,,,
ISG_072,13 February  2019 4:00,,,
ISG_073,,,,
ISG_074,,,,
ISG_075,,,,
ISG_076,,,,
ISG_077,,,,
ISG_078,,,,
ISG_079,,,,
ISG_080,,,,
ISG_081,,,,
ISG_082,,,,
ISG_083,,,,
ISG_084,,,,
ISG_085,,,,
ISG_086,,,,
ISG_087,,,,
ISG_088,,,,
ISG_089,,,,
ISG_090,,,,
ISG_091,,,,
ISG_092,,,,
ISG_093,,,,
ISG_094,,,,
ISG_095,,,,
ISG_096,,,,
ISG_097,,,,
ISG_098,,,,
ISG_099,,,,
ISG_100,,,,
ISG_101,,,,
ISG_102,,,,
ISG_103,,,,
ISG_104,,,,
ISG_105,,,,
ISG_106,,,,
ISG_107,,,,
ISG_108,,,,
ISG_109,,,,
ISG_110,,,,
ISG_111,,,,
ISG_112,,,,
ISG_113,,,,
ISG_114,,,,
ISG_115,,,,
ISG_116,,,,
ISG_117,,,,
ISG_118,,,,
ISG_119,,,,
ISG_120,,,,
ISG_121,,,,
ISG_122,,,,
ISG_123,,,,
ISG_124,,,,
ISG_125,,,,
ISG_126,,,,
ISG_127,,,,
ISG_128,,,,
ISG_129,,,,
ISG_130,,,,
ISG_131,,,,
ISG_132,,,,
ISG_133,,,,
ISG_134,,,,
ISG_135,,,,
ISG_136,,,,
ISG_137,,,,
ISG_138,,,,
ISG_139,,,,
ISG_140,,,,
ISG_141,,,,
ISG_142,,,,
ISG_143,,,,
ISG_144,,,,
