Orthogroup,Arabidopsis ortholog,genemodel,Label,Gene-family,Block-description,Pathway,Localization,qval,WGCNA_ww,WGCNA_d
OG0002519,"AT5G50370, AT5G63400",FUN_011473,ADK3-2,ADK,Adenylate kinase 3,PEP generation,chloroplast,0.0261046347491746,2.0,13.0
OG0006840,AT5G35170,FUN_026031,ADK5-1,ADK,Adenylate kinase 5,PEP generation,chloroplast,0.000180955775494359,3.0,2.0
OG0002519,"AT5G50370, AT5G63400",FUN_046898,ADK3-1,ADK,Adenylate kinase 3,PEP generation,chloroplast,0.154056105468315,1.0,6.0
OG0011322,AT5G47840,FUN_048323,ADK2-1,ADK,Adenylate kinase 2,PEP generation,chloroplast,0.15220877777500597,3.0,5.0
OG0005172,"AT2G18915,AT5G57360",FUN_013066,ADO1-1,ADO/ZTL,Adagio/Zeitlupe 1,Circadian/Light response,,0.0490642214387487,5.0,4.0
OG0012906,AT1G68050,FUN_023069,ADO3-1,ADO/ZTL,Adagio/Zeitlupe 3,Circadian/Light response,,0.273822216585999,5.0,4.0
OG0005172,"AT2G18915,AT5G57360",FUN_026803,ADO1-2,ADO/ZTL,Adagio/Zeitlupe 1,Circadian/Light response,,1.0,5.0,4.0
OG0047867,AT1G68050,FUN_032432,ADO3-2,ADO/ZTL,Adagio/Zeitlupe 3,Circadian/Light response,,1.0,6.0,4.0
OG0004725,"AT2G38400, AT3G08860",FUN_003986,AGT3-1,AGT,Alanine-glyoxylate aminotransferase 3,Photorespiration,mitochondria,2.2870548419837596e-08,7.0,6.0
OG0007600,AT2G13360,FUN_036354,AGT1-1,AGT,Serine-glyoxylate aminotransferase 1,Photorespiration,peroxisome,1.0,0.0,1.0
OG0007600,AT2G13360,FUN_052681,AGT1-2,AGT,Serine-glyoxylate aminotransferase 1,Photorespiration,peroxisome,1.0,1.0,8.0
OG0001752,"AT1G17290,AT1G72330",FUN_024067,ALAAT1-1,ALAAT,Alanine aminotransferase 1,Aminotransferase,cytoplasm,6.2185093995216595e-15,1.0,5.0
OG0001752,"AT1G17290,AT1G72330",FUN_050177,ALAAT1-2,ALAAT,Alanine aminotransferase 1,Aminotransferase,cytoplasm,5.23153820033672e-07,3.0,2.0
OG0001129,"AT1G25480,AT1G68600,AT1G18420,AT3G18440,AT2G17470",FUN_010507,ALMT3-1,ALMT,Aluminum-activated malate transporter 3,Metabolite transport,vacuole,0.00162555784271461,4.0,2.0
OG0000358,"AT1G08430,AT1G08440,AT2G27240",FUN_020069,ALMT1-1,ALMT,Aluminum-activated malate transporter 1,Metabolite transport,vacuole,,,
OG0000358,"AT1G08430,AT4G00910,AT3G11680,AT1G08440,AT2G27240",FUN_020070,ALMT1-2,ALMT,Aluminum-activated malate transporter 1,Metabolite transport,vacuole,,,
